country,source_country,distance
Haiti,South Korea,13549
South Sudan,South Korea,10130
Mozambique,South Korea,11398
Burundi,South Korea,10927
South Africa,South Korea,13165
Nigeria,South Korea,11917
Rwanda,South Korea,10838
Côte d'Ivoire,South Korea,13145
Malawi,South Korea,11167
"Congo, DRC",South Korea,11703
Sudan,South Korea,9830
Swaziland,South Korea,12220
Uganda,South Korea,10404
Dominican Republic,South Korea,13644
Zimbabwe,South Korea,11980
Cameroon,South Korea,11738
Tanzania,South Korea,10674
Benin,South Korea,12406
Ethiopia,South Korea,9164
Pakistan,South Korea,5391
Guyana,South Korea,15419
Mali,South Korea,12192
Namibia,South Korea,13152
Ghana,South Korea,12771
Guatemala,South Korea,13007
Botswana,South Korea,12569
Togo,South Korea,12576
Angola,South Korea,12513
Afghanistan,South Korea,5388
Liberia,South Korea,13519
Burkina Faso,South Korea,12465
Lesotho,South Korea,12666
Sierra Leone,South Korea,13508
Senegal,South Korea,13138
Guinea,South Korea,13237
Vietnam,China,2457
Kenya,China,7889
Zambia,China,9662
Haiti,China,13898
South Sudan,China,8015
Mozambique,China,9416
Burundi,China,8818
South Africa,China,11230
Nigeria,China,9903
Rwanda,China,8725
Côte d'Ivoire,China,11248
Malawi,China,9127
"Congo, DRC",China,9586
Sudan,China,7735
Swaziland,China,10296
Uganda,China,8289
Dominican Republic,China,13906
Zimbabwe,China,9957
Cameroon,China,9687
Tanzania,China,8591
Benin,China,10447
Ethiopia,China,7047
Pakistan,China,3283
Guyana,China,15148
Mali,China,10411
Namibia,China,11106
Ghana,China,10829
Guatemala,China,14066
Botswana,China,10550
Togo,China,10623
Angola,China,10401
Afghanistan,China,3313
Liberia,China,11657
Burkina Faso,China,10581
Lesotho,China,10758
Sierra Leone,China,11708
Senegal,China,11476
Guinea,China,11427
Vietnam,Netherlands,9632
Kenya,Netherlands,9664
Zambia,Netherlands,11738
Haiti,Netherlands,7509
South Sudan,Netherlands,5561
Mozambique,Netherlands,8394
Burundi,Netherlands,9954
South Africa,Netherlands,13010
Nigeria,Netherlands,6668
Rwanda,Netherlands,9957
Côte d'Ivoire,Netherlands,7458
Malawi,Netherlands,11541
"Congo, DRC",Netherlands,6433
Sudan,Netherlands,4898
Swaziland,Netherlands,13296
Uganda,Netherlands,10010
Dominican Republic,Netherlands,7384
Zimbabwe,Netherlands,12527
Cameroon,Netherlands,5016
Tanzania,Netherlands,11327
Benin,Netherlands,4767
Ethiopia,Netherlands,8564
Pakistan,Netherlands,5655
Guyana,Netherlands,7841
Mali,Netherlands,3926
Namibia,Netherlands,11865
Ghana,Netherlands,7892
Guatemala,Netherlands,8992
Botswana,Netherlands,8486
Togo,Netherlands,4852
Angola,Netherlands,7141
Afghanistan,Netherlands,5270
Liberia,Netherlands,7316
Burkina Faso,Netherlands,7349
Lesotho,Netherlands,13475
Sierra Leone,Netherlands,6858
Senegal,Netherlands,4534
Guinea,Netherlands,4880
Vietnam,Spain,10762
Kenya,Spain,9069
Zambia,Spain,10012
Haiti,Spain,6855
South Sudan,Spain,5100
Mozambique,Spain,7723
Burundi,Spain,8211
South Africa,Spain,11284
Nigeria,Spain,4924
Rwanda,Spain,8213
Côte d'Ivoire,Spain,5724
Malawi,Spain,9812
"Congo, DRC",Spain,5586
Sudan,Spain,4508
Swaziland,Spain,11566
Uganda,Spain,8265
Dominican Republic,Spain,6691
Zimbabwe,Spain,10797
Cameroon,Spain,4010
Tanzania,Spain,9164
Benin,Spain,3514
Ethiopia,Spain,8530
Pakistan,Spain,6527
Guyana,Spain,6757
Mali,Spain,2544
Namibia,Spain,10135
Ghana,Spain,6158
